,figcaption,date,title,time,localtion1,location2
0,,"Friday, February 14, 2020",Gallery Talk: Friday I’m in Love,12:30pm - 1:30pm,32 Quincy Street,Cambridge
1,,"Saturday, February 15, 2020",Student Guide Tour,11:00am - 11:50am,32 Quincy Street,Cambridge
2,,"Saturday, February 15, 2020",Student Guide Tour,3:00pm - 3:50pm,32 Quincy Street,Cambridge
3,,"Sunday, February 16, 2020",Student Guide Tour,11:00am - 11:50am,32 Quincy Street,Cambridge
4,,"Sunday, February 16, 2020",Student Guide Tour,3:00pm - 3:50pm,32 Quincy Street,Cambridge
5,"Charles Willson Peale, American,","Monday, February 17, 2020",Museums Closed,10:00am - 5:00pm,32 Quincy Street,Cambridge
6,"Jacob Bodendeich, German,","Tuesday, February 18, 2020",Gallery Talk: Silver—A Noble Metal,12:30pm - 1:00pm,32 Quincy Street,Cambridge
7,"László Moholy-Nagy,","Wednesday, February 19, 2020",Gallery Talk: Activation of Moholy-Nagy’s,12:30pm - 1:00pm,32 Quincy Street,Cambridge
8,Photo: Tim Correira.,"Wednesday, February 19, 2020",Circle of Friends Gallery Tour,5:30pm - 6:30pm,32 Quincy Street,Cambridge
9,"Seydou Keïta, Malian,","Thursday, February 20, 2020",Gallery Talk: Seydou Keïta and Malick Sidibé: Studio Photography in Mali,12:30pm - 1:00pm,32 Quincy Street,Cambridge
10,"Alberto Burri, Italian,","Friday, February 21, 2020",A Biologist’s Lens on the Harvard Art Museums,2:30pm - 3:30pm,32 Quincy Street,Cambridge
11,,"Saturday, February 22, 2020",Student Guide Tour,11:00am - 11:50am,32 Quincy Street,Cambridge
12,,"Saturday, February 22, 2020",Student Guide Tour,3:00pm - 3:50pm,32 Quincy Street,Cambridge
13,,"Sunday, February 23, 2020",Student Guide Tour,11:00am - 11:50am,32 Quincy Street,Cambridge
14,,"Sunday, February 23, 2020",Student Guide Tour,3:00pm - 3:50pm,32 Quincy Street,Cambridge
15,"Maruyama Ōkyo,","Tuesday, February 25, 2020",Gallery Talk:,12:30pm - 1:00pm,32 Quincy Street,Cambridge
16,Close-up of a glass muller being used to combine the pigment carmine lake with linseed oil to make a red paint.,"Tuesday, February 25, 2020",Materials Lab Workshop: Investigating Color in Art,1:00pm - 4:00pm,32 Quincy Street,Cambridge
17,"Matteo di Giovanni, Italian,","Wednesday, February 26, 2020",Gallery Talk: Fantastic Beasts and Where to Find Them,12:30pm - 1:00pm,32 Quincy Street,Cambridge
