Name,Count,Year
JACK,10779,1996
DANIEL,10338,1996
THOMAS,9603,1996
JAMES,9385,1996
JOSHUA,7887,1996
MATTHEW,7426,1996
RYAN,6496,1996
JOSEPH,6193,1996
SAMUEL,6161,1996
LIAM,5802,1996
JORDAN,5750,1996
LUKE,5664,1996
CONNOR,5009,1996
ALEXANDER,4840,1996
BENJAMIN,4805,1996
ADAM,4538,1996
HARRY,4434,1996
JAKE,4331,1996
GEORGE,4287,1996
CALLUM,4281,1996
WILLIAM,4269,1996
MICHAEL,4187,1996
OLIVER,3655,1996
LEWIS,3569,1996
CHRISTOPHER,3483,1996
KIERAN,2882,1996
NATHAN,2744,1996
JAMIE,2688,1996
ANDREW,2676,1996
ROBERT,2644,1996
BRADLEY,2557,1996
DAVID,2517,1996
AARON,2511,1996
BEN,2332,1996
JACOB,2249,1996
MOHAMMED,2112,1996
KYLE,2046,1996
CHARLIE,1912,1996
JONATHAN,1881,1996
ASHLEY,1874,1996
REECE,1811,1996
CAMERON,1791,1996
ALEX,1762,1996
CHARLES,1738,1996
EDWARD,1658,1996
JOHN,1649,1996
SAM,1638,1996
SCOTT,1632,1996
SEAN,1594,1996
JOE,1567,1996
DOMINIC,1519,1996
NICHOLAS,1385,1996
BRANDON,1337,1996
RHYS,1259,1996
MARK,1222,1996
MAX,1192,1996
DYLAN,1186,1996
HENRY,1135,1996
PETER,1128,1996
STEPHEN,1122,1996
LOUIS,1100,1996
RICHARD,1089,1996
CONOR,1081,1996
LEE,1053,1996
ANTHONY,1045,1996
PATRICK,1039,1996
TYLER,1007,1996
ROSS,1004,1996
JASON,1001,1996
ELLIOT,919,1996
BILLY,914,1996
PAUL,898,1996
STEVEN,877,1996
SHANE,846,1996
JOEL,793,1996
SHAUN,773,1996
TOBY,761,1996
CURTIS,757,1996
MITCHELL,725,1996
DEAN,719,1996
CRAIG,705,1996
TIMOTHY,691,1996
AIDAN,680,1996
DECLAN,680,1996
MARCUS,674,1996
HARRISON,663,1996
SIMON,656,1996
ELLIOTT,645,1996
JAY,639,1996
CHRISTIAN,627,1996
CALUM,614,1996
ETHAN,604,1996
RORY,601,1996
JOSH,595,1996
MACAULEY,577,1996
ZACHARY,574,1996
MOHAMMAD,567,1996
DANNY,565,1996
KANE,545,1996
OWEN,536,1996
JACK,10145,1997
JAMES,9853,1997
THOMAS,9479,1997
DANIEL,9047,1997
JOSHUA,7698,1997
MATTHEW,7443,1997
SAMUEL,6367,1997
JOSEPH,5809,1997
RYAN,5631,1997
JORDAN,5404,1997
LUKE,5147,1997
CONNOR,4890,1997
BENJAMIN,4782,1997
CALLUM,4746,1997
LIAM,4743,1997
ALEXANDER,4698,1997
HARRY,4631,1997
GEORGE,4586,1997
WILLIAM,4499,1997
ADAM,4202,1997
LEWIS,4065,1997
JAKE,3945,1997
MICHAEL,3704,1997
OLIVER,3647,1997
NATHAN,2983,1997
CHRISTOPHER,2939,1997
KIERAN,2753,1997
BRADLEY,2745,1997
JACOB,2590,1997
BEN,2572,1997
JAMIE,2540,1997
AARON,2497,1997
MOHAMMED,2390,1997
ROBERT,2281,1997
DAVID,2237,1997
CAMERON,2231,1997
ANDREW,2220,1997
KYLE,2205,1997
BRANDON,2184,1997
CHARLIE,2161,1997
REECE,1780,1997
CHARLES,1762,1997
ALEX,1747,1997
EDWARD,1711,1997
JONATHAN,1690,1997
ASHLEY,1660,1997
SAM,1562,1997
JOE,1454,1997
JOHN,1439,1997
SCOTT,1414,1997
SEAN,1388,1997
DYLAN,1380,1997
DOMINIC,1359,1997
LOUIS,1325,1997
RHYS,1291,1997
NICHOLAS,1274,1997
MAX,1244,1997
HENRY,1241,1997
TYLER,1158,1997
ROSS,1150,1997
ELLIOT,1045,1997
ETHAN,1037,1997
MARK,1028,1997
CONOR,1024,1997
PETER,1024,1997
STEPHEN,976,1997
PATRICK,962,1997
ANTHONY,948,1997
DECLAN,942,1997
BILLY,885,1997
RICHARD,880,1997
JASON,844,1997
LEE,844,1997
OWEN,813,1997
JOEL,809,1997
PAUL,806,1997
SHANE,776,1997
TOBY,762,1997
HARRISON,760,1997
STEVEN,760,1997
MITCHELL,759,1997
AIDAN,732,1997
SHAUN,708,1997
JAY,691,1997
CURTIS,675,1997
MOHAMMAD,658,1997
ELLIOTT,637,1997
MARCUS,621,1997
JOSH,595,1997
COREY,584,1997
CRAIG,575,1997
ALFIE,565,1997
CHRISTIAN,562,1997
CALUM,554,1997
MUHAMMAD,552,1997
TIMOTHY,550,1997
KANE,549,1997
RORY,541,1997
DEAN,538,1997
HARVEY,534,1997
JACK,9845,1998
THOMAS,9468,1998
JAMES,9197,1998
DANIEL,7732,1998
JOSHUA,7672,1998
MATTHEW,7171,1998
SAMUEL,6072,1998
CALLUM,5600,1998
JOSEPH,5411,1998
JORDAN,5158,1998
CONNOR,5155,1998
RYAN,4992,1998
LUKE,4934,1998
WILLIAM,4879,1998
HARRY,4761,1998
BENJAMIN,4643,1998
GEORGE,4540,1998
LEWIS,4518,1998
ALEXANDER,4460,1998
OLIVER,3970,1998
ADAM,3811,1998
JAKE,3760,1998
MICHAEL,3514,1998
LIAM,3486,1998
NATHAN,3211,1998
KIERAN,2731,1998
JACOB,2686,1998
CAMERON,2655,1998
BEN,2640,1998
MOHAMMED,2524,1998
AARON,2512,1998
CHRISTOPHER,2499,1998
BRADLEY,2452,1998
JAMIE,2451,1998
CHARLIE,2401,1998
BRANDON,2142,1998
ROBERT,2121,1998
KYLE,2016,1998
DAVID,1993,1998
OWEN,1896,1998
CHARLES,1868,1998
ANDREW,1808,1998
REECE,1729,1998
EDWARD,1709,1998
DYLAN,1643,1998
ALEX,1627,1998
ETHAN,1565,1998
JONATHAN,1484,1998
SAM,1441,1998
LOUIS,1433,1998
MAX,1418,1998
DOMINIC,1366,1998
JOHN,1357,1998
ASHLEY,1317,1998
RHYS,1310,1998
HENRY,1244,1998
CONOR,1225,1998
JOE,1211,1998
TYLER,1194,1998
SCOTT,1185,1998
SEAN,1183,1998
NICHOLAS,1090,1998
ROSS,1022,1998
MORGAN,969,1998
ELLIOT,964,1998
PATRICK,937,1998
PETER,935,1998
BILLY,894,1998
MARK,891,1998
STEPHEN,834,1998
ALFIE,808,1998
HARRISON,803,1998
LEE,801,1998
ANTHONY,795,1998
MITCHELL,794,1998
JOEL,782,1998
TOBY,769,1998
PAUL,767,1998
JAY,754,1998
JASON,723,1998
AIDAN,712,1998
RICHARD,683,1998
MOHAMMAD,676,1998
ISAAC,666,1998
DECLAN,663,1998
JOSH,645,1998
STEVEN,636,1998
MARCUS,625,1998
MUHAMMAD,621,1998
ELLIOTT,613,1998
HARVEY,596,1998
TOM,579,1998
CHRISTIAN,575,1998
KANE,574,1998
SHANE,568,1998
LEON,564,1998
SHAUN,558,1998
