,figcaption,date,title,time,localtion1,location2
0,"1958 D. A. Flentrop organ, Adolphus Busch Hall, Harvard University.","Thursday, November 1, 2018",Midday Organ Recital: Beth Elswick,12:15pm - 12:45pm,29 Kirkland Street,Cambridge
1,"Rhyton forepart in the form of a centaur, Hellenistic, c. 160 BCE. Silver, partially gilded. From Falerii Novi (Civita Castellana, Italy). Kunsthistorisches Museum, Vienna, VIIa 49. © KHM-Museumsverband.","Friday, November 2, 2018",Off-Site Materials Lab Workshop: Hands-On Silverworking Demonstration [AT CAPACITY],2:00pm - 3:45pm,224 Western Avenue,Allston
2,,"Friday, November 2, 2018",Student Guide Tour,2:00pm - 2:50pm,32 Quincy Street,Cambridge
3,"Deer head rhyton depicting griffins attacking a bull, probably Black Sea area, c. 350 BCE. Silver, partially gilded. From the Golyamata Mogila, Zlatinitsa (Bulgaria). National Archaeological Institute with Museum, Sofia, Bulgaria, 8620. Photo: Krasimir Georgiev. © National Archaeological Institute with Museum at the Bulgarian Academy of Sciences, Sofia.","Saturday, November 3, 2018",Between Art and Asset: Silver Vessels from Antiquity to Today,10:00am - 4:00pm,32 Quincy Street,Cambridge
4,"Donkey head kantharos (drinking cup) depicting Dionysos and his entourage, Greek, Attic, 520–500 BCE. Terracotta, black-figure technique. The British Museum, London, 1876,0328.5 (B378). © The Trustees of the British Museum. All rights reserved.","Saturday, November 3, 2018",Free Admission Day:,10:00am - 5:00pm,32 Quincy Street,Cambridge
5,"Octagonal cup with the forepart of a lion, Chinese, Sui or Tang dynasty, 7th century CE. Porcelain. The British Museum, London, Bequest of Mrs. Walter Sedgwick, 1968,0422.21. © The Trustees of the British Museum. All rights reserved.","Saturday, November 3, 2018",Tour:,10:30am - 11:30am,32 Quincy Street,Cambridge
6,,"Saturday, November 3, 2018",Student Guide Tour,11:00am - 11:50am,32 Quincy Street,Cambridge
7,,"Saturday, November 3, 2018",Student Guide Tour,3:00pm - 3:50pm,32 Quincy Street,Cambridge
8,,"Sunday, November 4, 2018",Student Guide Tour,11:00am - 11:50am,32 Quincy Street,Cambridge
9,,"Sunday, November 4, 2018",Student Guide Tour,3:00pm - 3:50pm,32 Quincy Street,Cambridge
10,,"Tuesday, November 6, 2018",Gallery Talk: The Art of Ruling,12:30pm - 1:00pm,32 Quincy Street,Cambridge
11,,"Tuesday, November 6, 2018",Materials Lab Workshop: Alternative Lithographic Processes [AT CAPACITY],1:00pm - 4:00pm,32 Quincy Street,Cambridge
12,"Donkey head kantharos (drinking cup) depicting Dionysos and his entourage, Greek, Attic, 520–500 BCE. Terracotta, black-figure technique. The British Museum, London, 1876,0328.5 (B378). © The Trustees of the British Museum. All rights reserved.","Wednesday, November 7, 2018",Free Admission Afternoon:,1:00pm - 5:00pm,32 Quincy Street,Cambridge
13,© Nic Lehoux,"Wednesday, November 7, 2018",Tour: The Renovation and Expansion Project,3:30pm - 4:30pm,32 Quincy Street,Cambridge
14,"Corinne Wasmuht, German,","Wednesday, November 7, 2018",Corinne Wasmuht: The Speed of Painting,6:00pm - 7:30pm,32 Quincy Street,Cambridge
15,"1958 D. A. Flentrop organ, Adolphus Busch Hall, Harvard University.","Thursday, November 8, 2018",Midday Organ Recital: Members of the Harvard Organ Society,12:15pm - 12:45pm,29 Kirkland Street,Cambridge
16,"Théodore Géricault, French,","Thursday, November 8, 2018",Gallery Talk: Géricault’s Stone Paper,12:30pm - 1:00pm,32 Quincy Street,Cambridge
17,,"Friday, November 9, 2018",Student Guide Tour,2:00pm - 2:50pm,32 Quincy Street,Cambridge
18,,"Saturday, November 10, 2018",Student Guide Tour,11:00am - 11:50am,32 Quincy Street,Cambridge
19,,"Saturday, November 10, 2018",Student Guide Tour,3:00pm - 3:50pm,32 Quincy Street,Cambridge
20,,"Sunday, November 11, 2018",Student Guide Tour,11:00am - 11:50am,32 Quincy Street,Cambridge
21,,"Sunday, November 11, 2018",Student Guide Tour,3:00pm - 3:50pm,32 Quincy Street,Cambridge
22,"Gordon W. Gahan, American,","Monday, November 12, 2018",Museums Closed,10:00am - 5:00pm,32 Quincy Street,Cambridge
23,"Charles Bird King, American,","Tuesday, November 13, 2018",Gallery Talk: The Artist at Work,12:30pm - 1:00pm,32 Quincy Street,Cambridge
24,,"Wednesday, November 14, 2018",Members Tour,9:00am - 10:00am,32 Quincy Street,Cambridge
25,"Donkey head kantharos (drinking cup) depicting Dionysos and his entourage, Greek, Attic, 520–500 BCE. Terracotta, black-figure technique. The British Museum, London, 1876,0328.5 (B378). © The Trustees of the British Museum. All rights reserved.","Wednesday, November 14, 2018",Free Admission Afternoon:,1:00pm - 5:00pm,32 Quincy Street,Cambridge
26,"Ram head mug depicting symposium of the mythical kings of Athens, signed by the potter Charinos, attributed to the Triptolemos Painter. Greek, Attic, c. 480 BCE. Terracotta, red-figure technique. Virginia Museum of Fine Arts, Richmond, Adolph D. and Wilkins C. Williams Fund, 79.100. Photo: Travis Fullerton. © Virginia Museum of Fine Arts, Richmond.","Wednesday, November 14, 2018",Tour:,3:30pm - 4:45pm,32 Quincy Street,Cambridge
27,,"Wednesday, November 14, 2018",Artist Talk: Cameron Rowland,6:00pm - 7:30pm,32 Quincy Street,Cambridge
28,"1958 D. A. Flentrop organ, Adolphus Busch Hall, Harvard University.","Thursday, November 15, 2018",Midday Organ Recital: Angela Kraft Kross,12:15pm - 12:45pm,29 Kirkland Street,Cambridge
29,,"Thursday, November 15, 2018",Gallery Talk: Banqueting with the Etruscans,12:30pm - 1:00pm,32 Quincy Street,Cambridge
30,"Timothy H. O’Sullivan, American,","Friday, November 16, 2018","Art Study Center Seminar: The Wall, the Page, the Album—Reading the Photograph in Context [AT CAPACITY]",11:00am - 12:00pm,32 Quincy Street,Cambridge
31,,"Friday, November 16, 2018",Student Guide Tour,2:00pm - 2:50pm,32 Quincy Street,Cambridge
32,"Bell krater depicting a symposium, Attributed to the Philocleon Reverse Group, Greek, Attic, c. 390 BCE. Terracotta, red-figure technique. Kunsthistorisches Museum, Vienna, ANSA IV 910. © KHM-Museumsverband.","Friday, November 16, 2018",Party Animals: An Ancient Feast,7:00pm - 9:00pm,224 Western Avenue,Allston
33,"Théodore Géricault, French,","Saturday, November 17, 2018",Tour (in Korean):,10:30am - 11:30am,32 Quincy Street,Cambridge
34,,"Saturday, November 17, 2018",Student Guide Tour,11:00am - 11:50am,32 Quincy Street,Cambridge
35,,"Saturday, November 17, 2018",Student Guide Tour,3:00pm - 3:50pm,32 Quincy Street,Cambridge
36,,"Sunday, November 18, 2018",Student Guide Tour,11:00am - 11:50am,32 Quincy Street,Cambridge
37,,"Sunday, November 18, 2018",Student Guide Tour,3:00pm - 3:50pm,32 Quincy Street,Cambridge
38,"Eagle head mug. Attributed to Douris, Greek, Attic, 490–470 BCE. Terracotta, red-figure technique. From Capua (Italy). The British Museum, London, 1873,0820.274 (E802). © The Trustees of the British Museum. All rights reserved.","Wednesday, November 21, 2018",Free Admission Afternoon:,1:00pm - 5:00pm,32 Quincy Street,Cambridge
39,"Harry Annas, American,","Thursday, November 22, 2018",Museums Closed,10:00am - 5:00pm,32 Quincy Street,Cambridge
